timestamp,val_loss,val_acc,macro_f1,weighted_f1,micro_precision,micro_recall,micro_f1,epochs_trained,best_epoch,epochs,batch,max_len,min_freq,lr,embed,filters,filter_sizes,dropout,stratify,val_frac,train_csv,val_csv,test_csv,seed,class_weights
20251108_154449,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,1000,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251108_154721,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,1000,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251108_155348,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,200,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251108_155539,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,200,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251108_155935,1.0910152196884155,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,6,,6,64,400,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251108_160031,1.0910152196884155,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,6,,6,64,400,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251113_115505,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,200,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251113_115801,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,200,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251113_120437,1.1154390573501587,0.0,0.0,0.0,,,,2,,2,8,200,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251113_122014,0.7608834762890546,0.6700554528650647,0.6126823655719276,0.6608054058168249,,,,3,,3,64,400,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251113_124709,0.6330081766612903,0.7338593974175036,0.7029392937741705,0.7233661307419931,,,,3,,3,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251114_233210,0.5364684366769393,0.7919655667144907,0.7749809359109006,0.7880063619133555,,,,8,,8,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_002514,0.5426497620181682,0.7880200860832137,0.7705659286921618,0.7855901585814381,,,,8,,8,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_003434,0.5109150100130604,0.7955523672883787,0.7781552544242613,0.7930811298371604,,,,8,,8,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_004907,0.5378232290019606,0.793400286944046,0.7772781004898986,0.7908091224999669,,,,8,,8,32,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_005937,0.5523317207393893,0.7858680057388809,0.7684486141642216,0.7841346599076229,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_011828,0.18751208305105213,0.9329571537872992,0.8474896747309647,0.9341021146444749,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_014601,0.16631925119302296,0.938504208110176,0.8619205446789983,0.9392956851309567,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_114210,0.16402726320802094,0.9406082631981637,0.8599596187169715,0.9416135251624111,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_123405,0.4820293085409863,0.8081683168316832,0.8015000361371913,0.8084011596798891,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_130933,0.38128161662703575,0.8637200736648251,0.8644415614564398,0.8644415614564399,,,,10,,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,,,,,
20251115_131114,0.4972640399064998,0.7860940695296523,0.7822934962447015,0.7822934962447013,0.7860940695296523,0.7860940695296523,0.7860940695296523,2,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,123,,,
20251115_131653,0.4972640399064998,0.7860940695296523,0.7822934962447015,0.7822934962447013,0.7860940695296523,0.7860940695296523,0.7860940695296523,2,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,123,,,
20251115_132206,0.4042025136130963,0.8468302658486707,0.846614386525704,0.846614386525704,0.8468302658486707,0.8468302658486707,0.8468302658486707,10,64,700,2,0.001,100,100,3;4;5,0.5,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,909351988,,,
20251115_133927,0.3992020444940692,0.8507157464212679,0.8501609875883762,0.8501609875883762,0.8507157464212679,0.8507157464212679,0.8507157464212679,10,64,700,3,0.0007,200,150,3;4;5,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,490363337,,,
20251115_134540,0.4029210717461104,0.8462167689161554,0.8463037705268356,0.8463037705268356,0.8462167689161554,0.8462167689161554,0.8462167689161554,12,64,700,3,0.0007,200,150,3;4;5,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,234296128,,,
20251115_135752,0.39588046376812436,0.8543967280163599,0.8535440662480752,0.8535440662480753,0.8543967280163599,0.8543967280163599,0.8543967280163599,10,8,10,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1441111923,
20251115_142533,0.398744759042814,0.8294478527607362,0.8269921362207371,0.8269921362207371,0.8294478527607362,0.8294478527607362,0.8294478527607362,10,8,12,64,700,3,0.0007,200,150,3;4;5;7,0.6,True,0.1,data/train_split.csv,data/val_split.csv,data/test_split.csv,1446171100,Left:1.0,Right:1.15,Neutral:1.0
